time	map	reduce	shuffle	sort
0	0	0	0	0
1	0	0	0	0
2	0	0	0	0
3	0	0	0	0
4	0	0	0	0
5	0	0	0	0
6	0	0	0	0
7	0	0	0	0
8	0	0	0	0
9	0	0	0	0
10	0	0	0	0
11	0	0	0	0
12	0	0	0	0
13	0	0	0	0
14	0	0	0	0
15	7	0	0	0
16	8	0	0	0
17	8	0	0	0
18	8	0	0	0
19	8	0	0	0
20	8	0	0	0
21	8	0	0	0
22	8	0	0	0
23	8	0	0	0
24	8	0	0	0
25	8	0	0	0
26	8	0	0	0
27	8	0	0	0
28	8	0	0	0
29	8	0	0	0
30	8	0	0	0
31	8	0	0	0
32	8	0	0	0
33	8	0	0	0
34	8	0	0	0
35	8	0	0	0
36	8	0	0	0
37	8	0	0	0
38	8	0	0	0
39	8	0	0	0
40	8	0	0	0
41	8	0	0	0
42	8	0	0	0
43	8	0	0	0
44	8	0	0	0
45	8	0	0	0
46	8	0	0	0
47	8	0	0	0
48	8	0	0	0
49	8	0	0	0
50	8	0	0	0
51	8	0	0	0
52	8	0	0	0
53	8	0	0	0
54	8	0	0	0
55	8	0	0	0
56	8	0	0	0
57	8	0	0	0
58	8	0	0	0
59	8	0	0	0
60	6	0	1	0
61	5	0	1	0
62	2	0	1	0
63	2	0	1	0
64	2	0	1	0
65	2	0	1	0
66	2	0	1	0
67	2	0	1	0
68	2	0	1	0
69	2	0	1	0
70	0	0	1	0
71	0	0	1	0
72	0	0	1	0
73	0	0	1	0
74	0	0	1	0
75	0	0	1	0
76	0	0	1	0
77	0	0	1	0
78	0	0	1	0
79	0	0	1	0
80	0	1	0	0
81	0	1	0	0
82	0	1	0	0
83	0	1	0	0
84	0	1	0	0
85	0	1	0	0
86	0	1	0	0
87	0	1	0	0
88	0	1	0	0
89	0	1	0	0
90	0	1	0	0
91	0	1	0	0
92	0	1	0	0
93	0	1	0	0
94	0	1	0	0
95	0	1	0	0
96	0	1	0	0
97	0	1	0	0
98	0	1	0	0
99	0	1	0	0
100	0	1	0	0
101	0	1	0	0
102	0	1	0	0
103	0	1	0	0
104	0	1	0	0
105	0	1	0	0
106	0	1	0	0
107	0	1	0	0
108	0	1	0	0
109	0	1	0	0
110	0	1	0	0
111	0	1	0	0
112	0	1	0	0
113	0	1	0	0
114	0	1	0	0
115	0	1	0	0
116	0	1	0	0
117	0	1	0	0
118	0	0	0	0
119	0	0	0	0
120	0	0	0	0
121	0	0	0	0
122	0	0	0	0
123	0	0	0	0
124	0	0	0	0
125	0	0	0	0
126	0	0	0	0
